"district_nces_code","district_name","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
"0902550","Monroe School District","Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",2,0.666666666666667,9,10,0.658691062631949,1421
"0610740","Del Mar Union Elementary","San Diego, CA","San Diego-Carlsbad, CA","San Diego-Carlsbad, CA",8,1,10,10,1,4393
"3605520","Brunswick Central School District (brittonkill)","Albany, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,0,4,4,0,499
"2912300","Fox C-6 School District","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",4,0.363636363636364,7.82,10,0.375604872351076,5993
"2913170","Grandview R-Ii School District","St. Louis, MO","St. Louis, MO-IL","St. Louis, MO-IL",0,0,4,4,0,326
"0691134","Golden Plains Unified","Fresno, CA","Fresno, CA","Fresno, CA",0,0,1.75,3,0,1357
"0604020","Barstow Unified School District","Riverside, CA","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0,0,3.33,7,0,3267
"0904620","Trumbull School District","Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT",6,1,9.17,10,1,2758
"4825500","Kennedale Independent School District","Fort Worth, TX","Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",0,0,6.33,8,0,1648
"0509060","Lonoke School District","Little Rock, AR","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",0,0,3,3,0,407
"2508340","Natick School District","Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",4,0.8,9,10,0.795465281058101,2117
"0634620","San Juan Unified","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA",4,0.0975609756097561,5.05,9,0.115982187036121,20210
"1603480","Wilder District","Boise, ID","Boise City, ID","Boise City, ID",0,0,1,1,0,245
"4808430","Anthony Independent School District","El Paso, TX","El Paso, TX","El Paso, TX",0,0,3,3,0,487
"4031110","Verdigris School District","Tulsa, OK","Tulsa, OK","Tulsa, OK",1,1,9,9,1,393
"3606900","Central Square Central School District","Syracuse, NY","Syracuse, NY","Syracuse, NY",0,0,6.25,8,0,1440
