district_nces_code,polygon_area,district_name,cbsa_title,median_sale_price,median_sale_price_per_sqft,total_sales
0634410,121806404.10767,San Francisco Unified School District,"San Francisco-Oakland-Hayward, CA",975e3,758.6898395721926,16199
0634425,12010767.0277274,San Gabriel Unified School District,"Los Angeles-Long Beach-Anaheim, CA",66e4,398.34289356277884,736
0634680,30042617.0587368,San Leandro Unified,"San Francisco-Oakland-Hayward, CA",49e4,340.9064994298746,1614
0634710,29299879.3930376,San Lorenzo Unified School District,"San Francisco-Oakland-Hayward, CA",462e3,350.22779043280184,1569
0634740,236524406.693825,San Lorenzo Valley Unified School District,"San Francisco-Oakland-Hayward, CA",45e4,349.1666666666667,1046
0634860,10682994.944223,San Marino Unified School District,"Los Angeles-Long Beach-Anaheim, CA",1868e3,765.4075546719682,431
0634920,79055203.7280477,San Mateo-Foster City Schools,"San Francisco-Oakland-Hayward, CA",81e4,597.04,3582
0635090,42368007.5079613,San Rafael City Elementary School District,"San Francisco-Oakland-Hayward, CA",815e3,466.33634508889537,1238
0635110,90683668.6539749,San Rafael City High School District,"San Francisco-Oakland-Hayward, CA",779e3,458.6776859504132,1993
0635130,274159723.19777,San Ramon Valley Unified School District,"San Francisco-Oakland-Hayward, CA",915e3,416.03630862329805,6529
0635310,68030945.1463217,Santa Ana Unified School District,"Los Angeles-Long Beach-Anaheim, CA",369e3,296.83698296836985,3385
0635430,108075986.630587,Santa Clara Unified School District,"San Francisco-Oakland-Hayward, CA",701e3,514.1129032258065,3077
0635600,401131965.568294,Santa Cruz City High School District,"San Francisco-Oakland-Hayward, CA",649e3,440.0,2905
0635700,211896907.146467,Santa Monica-Malibu Unified School District,"Los Angeles-Long Beach-Anaheim, CA",136e4,788.2111034955449,2871
0635910,100480943.090029,Saratoga Union Elementary,"San Francisco-Oakland-Hayward, CA",225e4,772.4778387505277,644
0635970,279247330.902059,Saugus Union School District,"Los Angeles-Long Beach-Anaheim, CA",445e3,253.46598202824134,4895
0636000,33165417.1371806,Sausalito Marin City,"San Francisco-Oakland-Hayward, CA",115e4,661.2090680100756,358
0636030,6027079.89799302,Savanna Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",341e3,275.897969807392,602
0636390,269324711.058833,Sequoia Union High School District,"San Francisco-Oakland-Hayward, CA",101e4,651.875571820677,6396
0636670,606274288.342628,Shoreline Unified School District,"San Francisco-Oakland-Hayward, CA",805e3,447.61640798226165,327
0636840,231019309.420644,Simi Valley Unified School District,"Los Angeles-Long Beach-Anaheim, CA",465e3,276.0504201680672,4389
0636970,1128569794.76951,Snowline Joint Unified School District,"Los Angeles-Long Beach-Anaheim, CA",227e3,113.58368103847937,1238
0636972,1422235845.60274,Victor Valley Union High School District,"Los Angeles-Long Beach-Anaheim, CA",173250.0,96.69811320754717,4961
0637500,8917028.30516189,South Pasadena Unified School District,"Los Angeles-Long Beach-Anaheim, CA",88e4,504.863813229572,567
0637530,29473172.7090344,South San Francisco Unified School District,"San Francisco-Oakland-Hayward, CA",642500.0,493.6102236421725,1556
0637560,10564602.8834586,South Whittier Elementary,"Los Angeles-Long Beach-Anaheim, CA",36e4,269.09722222222223,459
0637620,792677277.891901,Southern Kern Unified,"Los Angeles-Long Beach-Anaheim, CA",169e3,106.77242220866383,759
0638220,178088046.525407,Sulphur Springs Union School District,"Los Angeles-Long Beach-Anaheim, CA",355e3,234.25022182786157,2419
0638790,443882907.844895,Tamalpais Union High School District,"San Francisco-Oakland-Hayward, CA",125e4,672.6457399103139,4141
0638980,9418833.19081924,Temple City Unified School District,"Los Angeles-Long Beach-Anaheim, CA",712e3,432.71063667556234,785
0639420,53087535.0349691,Torrance Unified School District,"Los Angeles-Long Beach-Anaheim, CA",645e3,421.7660728117738,3385
0640150,62824359.230267,Tustin Unified School District,"Los Angeles-Long Beach-Anaheim, CA",55e4,330.0,3969
0640260,74245855.5720137,Two Rock Union School District,"San Francisco-Oakland-Hayward, CA",632775.0,527.3125,8
0640650,8246787.13979072,Valle Lindo Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",4e5,282.9064919594997,86
0640740,120485751.856255,Vallejo City Unified School District,"San Francisco-Oakland-Hayward, CA",274e3,183.24022346368716,4115
0641250,34893269.2062752,Walnut Creek Elementary School District,"San Francisco-Oakland-Hayward, CA",425e3,369.1026827012026,3009
0641280,56053137.0400487,Walnut Valley Unified School District,"Los Angeles-Long Beach-Anaheim, CA",658e3,350.55724417426546,1674
0642000,22034660.078385,West Covina Unified School District,"Los Angeles-Long Beach-Anaheim, CA",445e3,288.0886426592798,1286
0642120,820471412.232349,Westside Union Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",252e3,121.23004139562389,3220
0642150,26096816.680692,Westminster Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",485e3,314.60674157303373,1386
0642450,40395872.4176281,Whittier City Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",385e3,274.390243902439,1378
0642480,104838138.640929,Whittier Union High School District,"Los Angeles-Long Beach-Anaheim, CA",395e3,286.4394488759971,4591
0642510,1031214025.95208,William S. Hart Union High School District,"Los Angeles-Long Beach-Anaheim, CA",43e4,251.90548780487805,10863
0642750,30772639.3594225,Wilmar Union Elementary School District,"San Francisco-Oakland-Hayward, CA",775e3,397.7900552486188,72
0642810,260101462.609079,Wilsona Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",122e3,94.11764705882354,365
0642990,10054385.6359315,Wiseburn Elementary School District,"Los Angeles-Long Beach-Anaheim, CA",6e5,433.4170854271357,437
