district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,num_top_schools,percent_top_schools,avg_school_rating,best_rating,percent_students_in_top_schools,total_students,median_sale_price,median_sale_price_per_sqft,total_sales
2508310,Nashoba School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",1,0.5,8.5,9,0.64131245339299,1341,429900,184.16666666666666,869
2508310,Nashoba School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,596,429900,184.16666666666666,869
2508370,Needham School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,0.2,7.2,9,0.146424517593644,2643,800000,335.06268914829224,1149
2508430,New Bedford School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,3.11,6,0.0,7381,175000,108.28267477203647,2263
2508580,Newburyport School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,341,429000,272.62180974477957,1041
2508610,Newton School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",11,0.733333333333333,8.73,10,0.733115093039283,5804,825000,378.2894736842105,2946
2508640,Norfolk School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,530,464900,209.90447461035697,499
2508700,North Andover School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.8,8,0.0,2243,397500,198.86363636363637,1330
2508760,North Brookfield School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,4.0,4,0.0,343,175000,115.74074074074075,162
2508820,North Reading School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,0.333333333333333,8.0,9,0.410059676044331,1173,426000,233.65122615803816,645
2508880,Northborough School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,7.75,8,0.0,1187,363000,195.1904761904762,629
2508940,Northbridge School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,3.0,3,0.0,630,264000,152.3955147808359,632
2509270,Oxford School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,4.0,4,0.0,352,199900,134.6153846153846,574
2509540,Petersham School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",0,0.0,3.0,3,0.0,111,221000,126.77595628415301,61
2509720,Plymouth School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,6.0,8,0.0,3480,300000,177.69607843137254,3031
2509870,Quincy School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.91,8,0.0,4335,350000,262.8610108303249,3018
2509990,Reading School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.0,6,0.0,2009,444000,274.0026304252521,1077
2510050,Revere School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,5.5,7,0.0,2567,310000,187.6737720111214,1383
2510140,Rochester School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,8.0,8,0.0,487,376599,175.78125,208
2510200,Rockport School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,7.0,7,0.0,401,390000,279.48910593538693,352
2510380,Salem School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",0,0.0,4.0,7,0.0,2522,295000,198.64464210080473,2001
2510560,Scituate School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",1,0.25,8.0,10,0.219424460431655,1668,490000,253.82262996941895,950
2510620,Sharon School District,"Boston, MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",3,1.0,9.67,10,1.0,1454,460000,235.56231003039514,671
2510710,Sherborn School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,1.0,9.0,9,1.0,385,731000,252.128356254093,215
2510770,Shrewsbury School District,"Worcester, MA","Worcester, MA-CT","Worcester, MA-CT",4,0.8,9.0,10,0.657462425725271,2861,350000,188.8992537313433,1462
2510860,Somerset School District,"Providence, RI","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",0,0.0,6.67,8,0.0,1066,236000,163.22097378277152,597
2510890,Somerville School District,"Boston, MA","Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",1,0.142857142857143,6.14,9,0.0883446993180409,3226,566000,406.33608815427,2082
