"place_id","place_fips","polygon_area","is_suburb","walk_score"
25146,3659377,7142808.94594015,"suburb",
82,3600408,12364889.9903643,"suburb",
14533,3456130,7761312.89858588,"suburb",
11355,3444520,6768143.09227384,"suburb",
17563,3468550,5961563.3292492,"suburb",
15373,3659388,7308159.80769361,"suburb",
26576,3480750,12057619.0427526,"suburb",
4098,3415820,5364215.52666477,"suburb",
11411,3644787,2736710.33958443,"suburb",
30401,3650837,96277586.054397,"suburb",
3589,3413810,9141679.51518485,"suburb",
22212,3617739,10093836.3276093,"suburb",
12254,3647988,11828255.6380008,"suburb",
13665,3453040,9053423.09910985,"suburb",
1732,3406610,6716780.78043836,"suburb",
7405,3429070,3007749.51772902,"suburb",
19947,3479310,7715952.45415909,"suburb",
21943,3613420,15001360.2336532,"suburb",
17842,3469810,7533833.22882397,"suburb",
21401,3604913,10155025.2815186,"suburb",
6542,3625384,2899006.50911845,"suburb",
19045,3475140,15265504.7630362,"suburb",
1706,3406490,2103370.78081693,"suburb",
20508,3482570,2837871.48091154,"suburb",
21637,3408620,16958085.1116594,"suburb",
4961,3619213,28086421.1811913,"suburb",
23761,3640398,14548977.3128335,"suburb",
14231,3454990,7313109.58896164,"suburb",
9341,3436690,7386768.64876159,"suburb",
3987,3615400,13141823.6632574,"suburb",
12165,3447610,10322040.2110598,"suburb",
13396,3451930,8742426.46177017,"suburb",
19143,3675583,1545656.31553723,"suburb",
26256,3675583,11909484.9122894,"suburb",
24109,3644897,9451936.55147023,"suburb",
8353,3632710,7537149.66351047,"suburb",
2392,3409250,3020746.10921076,"suburb",
1676,3406340,26992543.4718013,"suburb",
22947,3628189,2567272.62775977,"suburb",
21347,3604154,4457475.18278609,"suburb",
24450,3449560,25006699.0137935,"suburb",
15367,3659355,10341080.255794,"suburb",
2100,3608103,20084483.2667993,"suburb",
1489,3405590,35114415.3113318,"suburb",
24085,3644534,17854236.9682041,"suburb",
22109,3415910,11557759.3886485,"suburb",
26395,3677772,25412879.8281252,"suburb",
22158,3416630,5458399.37734974,"suburb",
21411,3605039,5912886.88746484,"suburb",
32320,3419130,2810509.12204708,"suburb",
2341,3409040,5625641.52145642,"suburb",
24857,3655189,15152734.360319,"suburb",
6809,3426610,3326982.18709774,"suburb",
23351,3634693,4004617.45313804,"suburb",
24787,3654144,9856393.94161368,"suburb",
5543,3421450,8489831.13768161,"suburb",
25772,3668374,4233469.44882603,"suburb",
5889,3422860,3470872.41379316,"suburb",
13780,3653396,6544446.20562719,"suburb",
13046,3650705,952855.461291751,"suburb",
20436,3682117,1618401.6596679,"suburb",
15927,3461980,5269708.6970692,"suburb",
4785,3418490,2711516.92909827,"suburb",
25464,3663814,3818945.02347859,"suburb",
11766,3446110,4043911.28062402,"suburb",
9369,3436810,3982057.04798047,"suburb",
15207,3658728,7347436.74577772,"suburb",
26082,3673154,7460435.54777018,"suburb",
16703,3465130,18758833.9843296,"suburb",
5735,3622260,6124287.12047815,"suburb",
14762,3657001,2281109.57717644,"suburb",
25959,3471280,5510991.48451178,"suburb",
24433,3649363,14079188.5500372,"suburb",
24391,3648879,3987019.99524297,"suburb",
19640,3677849,5301789.55587358,"suburb",
26575,3680747,61419521.451689,"suburb",
14014,3654100,4157976.19062195,"suburb",
23672,3439360,7993810.34569238,"suburb",
21889,3612532,27372660.495936,"suburb",
7705,3630213,807509.889394938,"suburb",
19756,3678355,9751809.87789369,"suburb",
12406,3448510,10800823.0757036,"suburb",
24707,3653319,5236860.74042769,"suburb",
1339,3605034,4011783.76391116,"suburb",
162,3400700,8537864.34874503,"suburb",
11494,3645106,1632444.60716653,"suburb",
22579,3622980,14768559.4826105,"suburb",
3454,3613233,1746008.32270329,"suburb",
23952,3442540,4362812.0521972,"suburb",
20179,3480390,5708961.69468315,"suburb",
26379,3677574,7356901.77900863,"suburb",
24905,3655992,4868848.83543814,"suburb",
10591,3641553,11981782.1712411,"suburb",
9593,3637803,10808223.2140437,"suburb",
23325,3634286,2324757.38618967,"suburb",
16420,3464050,5480947.95630858,"suburb",
23754,3440320,16084325.7645262,"suburb",
13559,3452620,7798539.16233535,"suburb",
22496,3621985,15144768.97388,"suburb",
2214,3608532,2488337.29249055,"suburb",
21834,3611781,82771444.196453,"suburb",
23824,3641003,3091466.89731762,"suburb",
25836,3669452,31618303.4612622,"suburb",
25862,3669892,2251078.38430613,"suburb",
22502,3622065,7753065.39569231,"suburb",
32535,3423310,11635928.977573,"suburb",
2701,3410480,11346064.9899321,"suburb",
5775,3422440,5463918.39659003,"suburb",
18909,3474540,5388573.1949296,"suburb",
8884,3434890,2285934.90014292,"suburb",
32764,3427840,12535391.8971409,"suburb",
10526,3641333,3298001.15775286,"suburb",
10402,3440770,8901513.98542346,"suburb",
15750,3461170,1236253.54758215,"suburb",
26697,3683426,36647634.0890716,"suburb",
21519,3606860,13099016.7036055,"suburb",
19588,3477600,16063453.3742742,"suburb",
25891,3670387,24293621.4285639,"suburb",
10954,3443050,4226310.95524373,"suburb",
19772,3678465,6599908.62118228,"suburb",
16563,3464590,9197941.21048597,"suburb",
14195,3454870,12528606.5601472,"suburb",
14120,3454570,10108924.2695203,"suburb",
20461,3482300,11676634.0269518,"suburb",
19922,3679174,9037452.11301323,"suburb",
13856,3453610,7325975.51345568,"suburb",
1306,3404930,3915826.31142063,"suburb",
21947,3613442,7177143.03985528,"suburb",
23114,3430738,6690771.9682388,"suburb",
12321,3448210,6891655.86164281,"suburb",
25332,3662066,7321237.27627914,"suburb",
14767,3657023,3580416.7444022,"suburb",
23800,3640689,7953310.62371176,"suburb",
24822,3654551,11121928.2627791,"suburb",
22309,3419150,7920366.86407439,"suburb",
7528,3629542,10789187.1386935,"suburb",
19715,3678168,3066611.40015567,"suburb",
21876,3612419,2418694.85727459,"suburb",
5552,3421510,8611962.07747115,"suburb",
23225,3632523,2315166.80457962,"suburb",
26119,3673583,5877068.06555244,"suburb",
12951,3650353,9432416.62011682,"suburb",
26618,3681419,3367313.75046216,"suburb",
22650,3424180,31009009.9277109,"suburb",
21151,3601011,1758016.18821514,"suburb",
12461,3448690,9997814.29179149,"suburb",
23574,3638022,3472422.29732333,"suburb",
26550,3680258,13073450.8108936,"suburb",
13661,3653022,10415575.9786933,"suburb",
10105,3639694,10327508.7638212,"suburb",
22547,3622546,19013329.6012376,"suburb",
24325,3448030,14350672.2285463,"suburb",
22172,3616958,10231980.9097879,"suburb",
16918,3666047,5073598.22483147,"suburb",
11557,3445330,15885294.0504695,"suburb",
6420,3424930,11469394.4197561,"suburb",
8059,3431500,3522640.86645874,"suburb",
3956,3615297,8079537.38072271,"suburb",
22771,3625857,8915672.08573285,"suburb",
4548,3417530,5375149.4413712,"suburb",
34772,3467770,1286981.16698322,"suburb",
9874,3638934,445622.415109558,"suburb",
22795,3626121,36181657.1865389,"suburb",
12812,3449920,2642393.89902737,"suburb",
2004,3407750,6368759.07402549,"suburb",
6758,3626352,4183583.34509447,"suburb",
7687,3430150,5326435.34136456,"suburb",
13790,3453430,3357515.19961572,"suburb",
6253,3624295,2670731.76187477,"suburb",
17920,3470140,3552812.21578167,"suburb",
6109,3423700,2789779.95960372,"suburb",
9606,3637847,1148993.39801253,"suburb",
26589,3680885,5477480.50469936,"suburb",
15482,3459910,4510933.08413899,"suburb",
21532,3607069,4675368.99745996,"suburb",
14158,3654705,25550405.1391041,"suburb",
12285,3648090,14612316.5085259,"suburb",
17606,3468730,1952408.63801805,"suburb",
23020,3629245,4508044.25208161,"suburb",
26508,3679301,5868203.9469102,"suburb",
23243,3632842,2827018.72119415,"suburb",54.7178
21256,3602649,16039572.3892963,"suburb",
659,3602506,3421345.49981213,"suburb",
26329,3476700,3165859.75077122,"suburb",
24196,3646140,24742958.9791391,"suburb",
546,3402110,4645012.49710092,"suburb",
22569,3622832,29784684.6897008,"suburb",
