"region_walkscore_id","region_type_id","region_table_id","walk_score","transit_score","bike_score","jobs","population"
585,6,4539,61.2263,,,2808.61,23626.4
600,6,4756,34.7604,,,14981,52161.8
5079,6,1015,17.1409,,,5283,23025
931,6,16690,33.5975,,,18693.1,63105.9
3980,6,16127,37.3406,,,8780.02,20275
3054,6,16661,63.9404,45.1537,56.8763,232557,319372
1250,6,3362,21.4296,,,8176.67,28310
3191,6,538,72.2582,,,49512.3,39627.9
4287,6,5914,48.0887,29.3501,,21240.1,47082
2475,6,24983,20.7166,,,4934.14,24172.8
1116,6,10937,41.8587,38.1803,,89782.6,143020
712,6,9965,31.0608,,,14713.9,62720.3
3414,6,22661,58.0118,,,6310.67,33315.3
939,6,17176,26.3855,,,6502.52,44120.6
514,6,1328,59.2975,,,16500,76257.8
13758,6,22597,35.4502,,,6229.44,30954.6
853,6,14376,20.9858,,,6304.21,26043.5
3997,6,18995,19.4908,,,11742.4,34771.7
845,6,14294,26.959,,,27900.3,47797.4
4284,6,4953,49.1308,31.2246,,35250.7,80558.4
4387,6,937,15.492,,,16903.1,54141.5
4857,6,11698,38.7265,,,28695.2,47767.3
2669,6,19259,28.4935,,,,41026.1
314,6,6233,32.9602,,,23890.8,31415
4993,6,23682,40.4695,,,3179.05,16803
3306,6,16572,66.4471,,,4266.24,21587.3
3256,6,23620,54.5379,,,9883.39,53286.7
813,6,24586,22.7616,,,2273.15,16661
5074,6,680,23.4015,,,7874.42,17463.9
1939,6,18073,29.2793,,,5436.03,21522
1325,6,23141,26.1859,,,3052.81,22261.2
637,6,22674,43.7426,,,10307.6,47490.7
14682,6,22699,30.663,,,37646.3,45846.4
4500,6,2809,32.8863,,,32295.8,76000.7
2420,6,22828,35.4042,,,5874.35,39120
1586,6,81,22.1217,,,6836.11,19684.9
3990,6,18309,42.3016,,,7149.26,28699.9
402,6,18267,20.6904,,,13167.4,117046
1820,6,7583,37.4437,,,11403.1,33078.6
454,6,17619,24.8848,,,11427,29882.2
3132,6,5786,36.459,,,14002.2,18085.8
3142,6,10201,40.3745,33.3647,51.9566,219489,580138
5308,6,35759,61.1819,49.0629,,298087,593611
1596,6,21903,26.5898,,,1951.03,22788.4
2688,6,782,50.1174,47.221,73.7107,114072,112674
4044,6,35766,22.6924,,,17758.4,35254
5005,6,24355,22.7317,,,13028.5,48106.8
1777,6,4628,28.5556,,,20574.5,40697.1
5026,6,25657,36.8027,,,68461,58511.5
3049,6,16428,30.5296,,,32257.6,65604.9
2481,6,25106,24.1268,,,7399.29,33910
1786,6,4949,37.4303,,,16190.4,42622.2
4814,6,30854,15.9029,,,6944.15,41108.9
2497,6,25423,17.9566,,,13892.9,44924.9
4092,6,17107,32.2364,,,16103.2,29845.3
1677,6,31668,21.0453,,,6039.27,49942.1
1916,6,15005,54.0815,,,19644.1,37641.8
1915,6,29504,35.1952,,,4652.58,21209.6
2158,6,14509,36.0618,,,11279.8,20059.8
635,6,22672,71.5889,61.5213,,6469.09,63668.1
523,6,21531,27.4185,,,2364.87,23616.7
678,6,8536,83.9236,,,6031.87,19170.5
3873,6,6038,56.9704,57.3257,,3512.66,17799.6
687,6,9186,78.4421,53.1593,,14359.2,57694.2
