 place_id , median_sale_price , median_sale_price_per_sqft , total_sales 
4822,129000,122.1590909,5
4831,181000,134.2473419,22
4861,219000,157.6388889,36
4872,52000,43.47826087,5
4881,57750,39.04665314,5
4893,225000,176.69532,8
4899,137500,106.557377,61
4909,200000,160.2830189,191
4912,30500,25.4590985,5
4914,390000,313.8888889,6
4924,209000,147.634981,8
4937,85000,64.20404573,17
4949,84000,80.72174739,16
4953,175000,124.1345203,105
4962,61103,53.80476556,7
4966,75000,55.35055351,14
4971,169900,141.6247304,6
4983,40000,34.36426117,18
4990,154900,98.59307359,6
5016,65000,61.78707224,8
5022,135000,105.1724138,16
5037,110000,83.33333333,13
5044,133000,91.80098108,8
5054,105000,94.93670886,5
5059,68500,64.16584403,7
5064,211000,183.5501148,54
5089,190000,146.3414634,11
5092,475000,363.6363636,33
5094,108000,91.26984127,30
5096,299900,212.5,7
5108,99900,83.48930481,51
5124,79000,69.18819188,23
5132,62000,52.95454545,16
5133,62000,53.55832722,52
5145,245000,149.7555012,67
5152,510000,368.2634731,9
5155,349500,255.0091075,823
5173,67000,53.07855626,22
5175,388000,279.740447,8
5177,63500,41.58415842,21
5179,133000,90.48257373,7
5203,85000,65.38461538,7
5208,189900,185.4492188,8
5210,75000,68.65079365,23
5229,192000,143.7125749,7
5233,22500,21.63461538,15
5243,84900,81.63461538,10
5256,72000,62.38003839,5
5259,128000,93.37960491,13
5264,113000,94.57236842,9
5265,125000,94.12650602,7
5279,49900,44.00352734,5
5281,278500,139.7390868,5
5288,110500,87.6984127,19
5305,69000,59.89583333,7
5314,129000,99.90485252,30
5322,213500,173.9285714,17
5327,180000,123.1367466,12
5329,116500,93.53741497,30
5334,245000,173.6357193,10
5337,365000,264.6464646,14
5357,387000,275.3012048,23
5359,148400,126.8115942,12
5380,154900,105.8783322,6
5394,166000,125,23
5401,717000,595,10
5413,57500,47.58064516,253
5414,109000,89.26875594,45
5419,77500,64.47124304,29
5426,86000,73.04347826,12
5435,25000,20.37037037,14
5444,140000,115.6069364,6
5464,148000,103.9861352,22
5473,633000,527.5,5
5476,177500,154.0798611,16
5487,115000,87.57549612,29
5495,100000,80.49242424,5
5500,99000,66.06282383,17
5501,54500,42.17171717,24
5509,100000,80.78994614,64
5535,125000,113.0676552,22
5542,140000,99.93333333,9
5545,56000,51.11524164,10
5555,135000,89.1809291,9
5558,49000,48.61111111,6
5561,78500,62.01923077,16
5568,140000,102.970297,8
5580,95000,76.79738562,9
5583,129000,100,62
5597,400000,300.7322176,31
5614,167000,119.9712644,12
5618,715000,556.6502463,34
5660,90000,81.43939394,48
5664,330000,253.164557,13
5665,22559,18.25,98
5672,317000,238.1870781,67
5684,179000,161.84573,88
5687,104800,71.2804878,10
5690,169000,134.7560976,10
5698,65000,55.27210884,7
5705,225000,186.5757358,5
5724,135000,118.8271605,12
5726,415000,344.6969697,17
5734,11200,8.619000979,8
5740,55000,38.56942496,5
5746,119000,85.47794118,109
5747,290000,258.4493042,50
5759,225000,139.6495071,39
5771,1005000,827.7027027,5
5811,134000,105.2631579,26
5832,261000,211.5284974,120
5841,34500,29.20560748,27
5844,895000,769.4524496,14
5847,155000,105.7977303,58
5849,128500,95.44334975,30
5850,180000,142.4361493,10
5859,130000,112.6346719,8
5876,385000,306.9883527,63
5877,152000,109.8039216,21
5888,177000,149.21875,8
5891,90000,87.31513083,8
5895,59000,45.00150489,16
5914,180000,134.7305389,46
5932,169900,139.8467433,32
5933,510000,380.5970149,10
5941,169000,143.9393939,7
5948,55000,43.44391785,6
5955,85500,71.79487179,10
5964,316200,248.4742807,13
5970,1393000,910.8040201,5
5976,876000,658.4077381,13
5980,325000,260.2252519,20
5984,135000,103.5616438,33
5986,139000,121.3369963,8
6008,185500,121.4905933,68
6014,142800,114.0661939,20
6062,125000,92.04712813,6
6064,243000,189.3491124,15
6066,163500,114.9891775,21
6077,134900,103.8491147,10
6080,220000,168.2562077,16
6084,61550,50.70436508,11
6088,275500,192.8645833,16
6108,54900,41.40271493,22
6111,183000,152.3391813,11
6114,90000,48.24120603,6
6120,77000,66.69733211,17
6122,168970,128.8343558,10
6123,190000,128.4781517,79
6128,237500,173.5880399,5
6129,127900,88.54166667,5
6130,271000,219.126506,9
6142,210000,168.7929342,134
6146,133000,105.7291667,24
6147,90000,68.71727749,29
6156,105000,75.6501182,11
6158,127500,111.2967383,12
6168,220000,141.2259615,15
6170,42500,34.96503497,27
6171,87000,72.25913621,47
6173,251000,201.8107477,362
6198,52000,43.53083434,8
6199,386000,262.0396601,8
6201,111500,98.75,19
6203,87500,80.42279412,21
6208,205000,142.162819,650
6212,390000,340.1360544,28
6234,73000,53.78627035,10
6239,255000,159.0909091,7
6250,103000,91.6958042,11
6251,49900,41.30794702,33
6255,100000,78.55614973,134
6257,235000,154.4076362,17
6263,94900,80.5588453,17
6275,144400,103.6977492,5
6277,231750,191.6666667,19
6296,208000,156.0559006,24
6316,127900,102.8492008,15
6331,276000,228.5714286,19
6333,181000,124.8275862,6
6341,162000,137.769447,30
6343,355000,267.9217958,44
6354,250000,201.6129032,25
6363,77000,57.1640683,7
6376,147000,125.2465483,7
6379,74000,59.43152455,50
6382,316000,225.6722151,82
6411,150000,117.6234214,13
6414,56900,45.58270677,18
6428,600000,395.1149425,9
6429,124000,87.890625,14
6444,112270,86.79525223,19
6455,155000,115.9634318,10
6463,358150,237.6738306,19
6464,121000,80.23872679,8
