"place_id","city","state_code","is_suburb","redfin_metro","metropolitan_division","metropolitan_statistical_area","num_top_schools","percent_top_schools","avg_school_rating","best_rating","percent_students_in_top_schools","total_students"
3716,"Clifton Heights","PA","suburb","Philadelphia, PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0,0,3.5,4,0,953
24402,"Mount Sinai","NY","suburb","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",0,0,7,7,0,748
16775,"Romeoville","IL","suburb","Chicago, IL","Chicago-Naperville-Arlington Heights, IL","Chicago-Naperville-Elgin, IL-IN-WI",0,0,4.25,5,0,2818
6607,"Gatesville","NC","suburb","Hampton Roads, VA","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",0,0,6,6,0,309
13790,"Northvale","NJ","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",0,0,8,8,0,474
24210,"Mascot","TN","suburb","Knoxville, TN","Knoxville, TN","Knoxville, TN",0,0,2,2,0,522
1955,"Bonita Springs","FL","suburb","Cape Coral, FL","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL",0,0,3.5,5,0,1212
4367,"Covina","CA","suburb","Los Angeles, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",0,0,5.4,7,0,5000
13678,"Mineral Point","WI","suburb","Madison, WI","Madison, WI","Madison, WI",0,0,8,8,0,375
13183,"Morrisville","PA","suburb","Montgomery County, PA","Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,0.2,6.4,9,0.240238860817639,4354
16248,"River Edge","NJ","suburb","New York, NY","New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ-PA",2,1,9.5,10,1,1159
30710,"Williamson","NY","suburb","Rochester, NY","Rochester, NY","Rochester, NY",0,0,6,6,0,434
19284,"Taylor","PA","suburb","Scranton, PA","Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA",0,0,6,6,0,359
17896,"Santa Paula","CA","suburb","Oxnard, CA","Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",1,0.25,5.75,9,0.0714285714285714,756
6974,"Franklin","WI","suburb","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",2,0.4,8.4,9,0.412926391382406,2228
29942,"Caledonia","NY","suburb","Rochester, NY","Rochester, NY","Rochester, NY",0,0,6,6,0,384
6151,"Florham Park","NJ","suburb","Newark, NJ","Newark, NJ-PA","New York-Newark-Jersey City, NY-NJ-PA",0,0,8,8,0,320
6018,"Ellwood City","PA","suburb","Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",0,0,6,6,0,651
10827,"Lindenhurst","NY","suburb","Long Island, NY","Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ-PA",0,0,6.67,8,0,2630
