nces_code,name,city,state_code,is_suburb,district_nces_code,district_name,redfin_metro,metropolitan_division,metropolitan_statistical_area,school_quality,great_schools_rating,number_of_students,median_sale_price,median_sale_price_per_sqft,total_sales
320006000623,William & Mary Scherkenbach Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,611,147000,106.81658468025299,11
320006000655,Aldeane Comito Ries Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,887,169000,130.24282560706402,10
320006000656,Liliam Lujan Hickey Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,718,133000,100.52562417871222,8
320006000657,Jay W. Jeffers Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,887,80000,69.93006993006993,5
320006000679,Don E Hayden Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,6,575,129500,105.46875,7
320006000689,Steve Schorr Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,912,170000,124.55516014234875,16
320006000690,Sandra L Thompson Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,714,149900,117.60242792109257,29
320006000716,William V Wright Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,1122,170000,117.79448621553885,21
320006000722,Judith D Steele Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,830,179000,133.79204892966362,26
320006000732,James E & A Rae Smalley Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,767,158000,121.91358024691358,10
320006000733,Dr. Claude G Perkins Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,2,677,149927,98.98989898989899,12
320006000736,Sister Robert Joseph Bailey Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,5,877,135000,125.91911764705883,12
320006000737,Robert L Forbuss Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,8,1097,155000,123.36160370084811,17
320006000741,D L Dusty Dickens Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,751,230000,154.1095890410959,17
320006000757,Carolyn S Reedom Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,963,245000,157.7591757887959,5
320006000758,Thomas O'Roarke Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,704,155000,138.8732394366197,8
320006000771,Mark L Fine Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,7,837,160000,124.08223201174744,26
320006000801,Charlotte & Jerry Keller Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",poor_school,3,765,130000,112.2792937399679,9
320006000804,Shirley & Bill Wallin Elementary School,Henderson,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,10,803,265000,175.72944297082228,185
320006000805,Ruby Duncan Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",average_school,4,608,129500,105.46875,7
320006000806,Vincent L Triggs Elementary School,North Las Vegas,NV,suburb,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,774,188000,146.4968152866242,59
320006000816,Evelyn Stuckey Elementary School,Las Vegas,NV,principal_city,3200060,Clark County School District,"Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",top_school,9,873,180000,140.98523023457864,10
330061600295,Milton Elementary School,Milton,NH,suburb,3300616,Milton School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",poor_school,1,268,167500,130.18867924528303,11
330261000083,Derry Village School,Derry,NH,suburb,3302610,Derry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,6,435,239000,157.11743772241994,8
330261000085,Grinnell School,Derry,NH,suburb,3302610,Derry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",poor_school,3,459,175000,138.64042933810376,14
330261000087,South Range Elementary School,Derry,NH,suburb,3302610,Derry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,6,359,192500,140.01106806862202,11
330261000497,East Derry Memorial Elementary School,Derry,NH,suburb,3302610,Derry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,7,404,149900,117.109375,8
330261000607,Ernest P. Barka Elementary School,Derry,NH,suburb,3302610,Derry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,4,597,175900,133.83838383838383,9
330264000090,Garrison School,Dover,NH,suburb,3302640,Dover School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,7,469,239500,172.61227071473752,23
330264000091,Horne Street School,Dover,NH,suburb,3302640,Dover School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,5,515,175000,136.75213675213675,13
330264000094,Woodman Park School,Dover,NH,suburb,3302640,Dover School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,4,615,219000,129.6551724137931,10
330288000102,Epping Elementary School,Epping,NH,suburb,3302880,Epping School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,6,521,216000,156.86274509803923,12
330297000108,Lincoln Street Elementary School,Exeter,NH,suburb,3302970,Exeter School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,9,542,215000,182.46869409660107,13
330300000124,Henry Wilson Memorial School,Farmington,NH,suburb,3303000,Farmington School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",poor_school,3,443,155000,114.65827338129496,29
330300000597,Valley View Community Elementary School,Farmington,NH,suburb,3303000,Farmington School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,7,371,155000,114.65827338129496,29
330351000470,Adeline C. Marston School,Hampton,NH,suburb,3303510,Hampton School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,8,419,299900,214.94708994708995,16
330441000234,North Londonderry Elementary School,Londonderry,NH,suburb,3304410,Londonderry School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,8,449,215000,156.5539983511954,10
330528000340,Newmarket Elementary School,Newmarket,NH,suburb,3305280,Newmarket School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,6,569,237000,163.37907375643223,17
330582000373,Mary C. Dondero Elementary School,Portsmouth,NH,suburb,3305820,Portsmouth School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,8,302,275000,193.86574074074073,6
330582000376,Little Harbour School,Portsmouth,NH,suburb,3305820,Portsmouth School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,10,477,499900,386.2925482980681,8
330582000377,New Franklin School,Portsmouth,NH,suburb,3305820,Portsmouth School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",top_school,10,263,250000,226.44927536231884,13
330588000384,Lamprey River Elementary School,Raymond,NH,suburb,3305880,Raymond School District,"Rockingham County, NH","Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",average_school,5,570,189000,148.3357452966715,22
